Participation_Mode,Club_Membership,Event_Theme,Event_Time,Semester
Offline,Rotaract,Sustainability,Morning,Sem 2
Online,NSS,Entrepreneurship,Evening,Sem 1
Offline,IEEE,Sustainability,Morning,Sem 8
Offline,GDSC,AI,Evening,Sem 7
Online,Rotaract,Entrepreneurship,Afternoon,Sem 7
Online,CSI,Sustainability,Afternoon,Sem 1
Online,GDSC,Sustainability,Evening,Sem 4
Offline,Rotaract,Sustainability,Afternoon,Sem 6
Online,Rotaract,Innovation,Evening,Sem 3
Online,IEEE,Cybersecurity,Afternoon,Sem 4
Online,IEEE,Entrepreneurship,Afternoon,Sem 6
Offline,NSS,Innovation,Evening,Sem 1
Offline,Rotaract,Cybersecurity,Afternoon,Sem 4
Offline,GDSC,Cybersecurity,Evening,Sem 6
Online,NSS,Innovation,Evening,Sem 3
Offline,Rotaract,Innovation,Evening,Sem 2
Online,NSS,Cybersecurity,Morning,Sem 2
Offline,GDSC,Innovation,Evening,Sem 4
Online,Rotaract,Cybersecurity,Morning,Sem 5
Offline,GDSC,AI,Evening,Sem 3
Offline,Rotaract,Cybersecurity,Morning,Sem 2
Online,IEEE,Sustainability,Morning,Sem 8
Online,GDSC,Sustainability,Morning,Sem 1
Offline,Rotaract,Entrepreneurship,Afternoon,Sem 3
Online,IEEE,Entrepreneurship,Evening,Sem 6
Online,IEEE,Cybersecurity,Afternoon,Sem 1
Online,Rotaract,Cybersecurity,Evening,Sem 3
Online,GDSC,Sustainability,Afternoon,Sem 7
Online,Rotaract,AI,Evening,Sem 6
Offline,Rotaract,Sustainability,Evening,Sem 4
Offline,IEEE,Innovation,Evening,Sem 5
Offline,CSI,Entrepreneurship,Morning,Sem 3
Online,GDSC,Innovation,Morning,Sem 4
Offline,Rotaract,Sustainability,Evening,Sem 7
Online,Rotaract,Entrepreneurship,Evening,Sem 3
Offline,GDSC,Cybersecurity,Evening,Sem 4
Offline,GDSC,Entrepreneurship,Evening,Sem 2
Offline,GDSC,Sustainability,Morning,Sem 7
Online,GDSC,Sustainability,Afternoon,Sem 4
Offline,GDSC,AI,Evening,Sem 7
Online,NSS,Innovation,Evening,Sem 8
Offline,CSI,Innovation,Evening,Sem 6
Offline,NSS,Sustainability,Evening,Sem 5
Online,CSI,Sustainability,Morning,Sem 4
Online,CSI,Entrepreneurship,Afternoon,Sem 1
Offline,GDSC,Cybersecurity,Evening,Sem 1
Offline,IEEE,Sustainability,Evening,Sem 7
Online,NSS,AI,Afternoon,Sem 7
Online,CSI,Sustainability,Morning,Sem 4
Online,GDSC,Entrepreneurship,Evening,Sem 7
Online,CSI,AI,Morning,Sem 2
Online,NSS,Innovation,Afternoon,Sem 4
Offline,IEEE,Sustainability,Evening,Sem 1
Online,CSI,Cybersecurity,Morning,Sem 3
Offline,IEEE,Entrepreneurship,Evening,Sem 2
Online,NSS,Cybersecurity,Afternoon,Sem 6
Online,NSS,Cybersecurity,Afternoon,Sem 3
Offline,NSS,Innovation,Afternoon,Sem 8
Offline,GDSC,Sustainability,Evening,Sem 5
Online,GDSC,Entrepreneurship,Morning,Sem 3
Offline,IEEE,Entrepreneurship,Afternoon,Sem 2
Online,NSS,Sustainability,Afternoon,Sem 6
Online,NSS,AI,Morning,Sem 6
Online,NSS,Cybersecurity,Afternoon,Sem 7
Online,IEEE,Innovation,Evening,Sem 3
Online,Rotaract,Cybersecurity,Morning,Sem 8
Offline,Rotaract,Cybersecurity,Afternoon,Sem 2
Online,NSS,Entrepreneurship,Afternoon,Sem 4
Offline,IEEE,Cybersecurity,Afternoon,Sem 1
Offline,NSS,Entrepreneurship,Evening,Sem 1
Offline,NSS,Innovation,Morning,Sem 2
Offline,CSI,Entrepreneurship,Afternoon,Sem 3
Online,GDSC,AI,Evening,Sem 6
Online,CSI,Entrepreneurship,Morning,Sem 2
Online,IEEE,Innovation,Morning,Sem 1
Online,GDSC,Entrepreneurship,Afternoon,Sem 2
Online,GDSC,Entrepreneurship,Morning,Sem 1
Offline,GDSC,Entrepreneurship,Evening,Sem 8
Online,CSI,Cybersecurity,Evening,Sem 8
Online,Rotaract,Entrepreneurship,Afternoon,Sem 7
Online,CSI,Entrepreneurship,Evening,Sem 2
Online,IEEE,Entrepreneurship,Evening,Sem 5
Online,NSS,Innovation,Afternoon,Sem 6
Offline,NSS,AI,Evening,Sem 8
Online,IEEE,Innovation,Afternoon,Sem 8
Online,Rotaract,Innovation,Evening,Sem 7
Online,IEEE,Innovation,Evening,Sem 7
Offline,IEEE,Cybersecurity,Morning,Sem 2
Online,IEEE,AI,Afternoon,Sem 8
Online,CSI,Innovation,Morning,Sem 3
Online,NSS,Sustainability,Morning,Sem 8
Offline,Rotaract,AI,Afternoon,Sem 5
Offline,NSS,Entrepreneurship,Afternoon,Sem 2
Online,CSI,Entrepreneurship,Evening,Sem 1
Offline,GDSC,Sustainability,Morning,Sem 2
Online,IEEE,Innovation,Afternoon,Sem 3
Offline,CSI,Sustainability,Evening,Sem 5
Offline,GDSC,Sustainability,Afternoon,Sem 4
Offline,IEEE,Cybersecurity,Morning,Sem 1
Offline,GDSC,Entrepreneurship,Afternoon,Sem 6
Offline,CSI,Cybersecurity,Afternoon,Sem 8
Online,NSS,Entrepreneurship,Morning,Sem 1
Online,CSI,Innovation,Afternoon,Sem 3
Offline,IEEE,AI,Afternoon,Sem 5
Online,IEEE,Sustainability,Afternoon,Sem 5
Offline,CSI,Entrepreneurship,Morning,Sem 2
Offline,IEEE,Sustainability,Afternoon,Sem 6
Online,NSS,AI,Morning,Sem 2
Online,CSI,Innovation,Evening,Sem 1
Offline,CSI,Innovation,Evening,Sem 5
Offline,Rotaract,AI,Afternoon,Sem 3
Offline,IEEE,Sustainability,Morning,Sem 4
Offline,NSS,Innovation,Morning,Sem 3
Online,IEEE,Sustainability,Afternoon,Sem 3
Online,GDSC,Sustainability,Afternoon,Sem 8
Offline,CSI,Cybersecurity,Evening,Sem 3
Online,GDSC,Cybersecurity,Morning,Sem 5
Offline,Rotaract,AI,Afternoon,Sem 5
Online,GDSC,AI,Morning,Sem 6
Online,GDSC,Entrepreneurship,Afternoon,Sem 4
Online,CSI,Entrepreneurship,Afternoon,Sem 2
Offline,NSS,Cybersecurity,Morning,Sem 5
Online,IEEE,AI,Morning,Sem 3
Online,GDSC,Innovation,Morning,Sem 2
Offline,Rotaract,Innovation,Afternoon,Sem 8
Offline,GDSC,Sustainability,Evening,Sem 3
Online,Rotaract,Entrepreneurship,Morning,Sem 2
Online,IEEE,AI,Evening,Sem 2
Offline,NSS,Innovation,Morning,Sem 2
Offline,NSS,Sustainability,Evening,Sem 4
Offline,NSS,Cybersecurity,Afternoon,Sem 2
Offline,NSS,Innovation,Afternoon,Sem 1
Offline,IEEE,Cybersecurity,Morning,Sem 6
Online,NSS,Cybersecurity,Evening,Sem 4
Online,NSS,Cybersecurity,Evening,Sem 5
Online,IEEE,AI,Evening,Sem 3
Offline,Rotaract,Innovation,Morning,Sem 5
Online,NSS,Entrepreneurship,Afternoon,Sem 1
Online,Rotaract,Cybersecurity,Morning,Sem 5
Online,GDSC,Sustainability,Evening,Sem 1
Offline,NSS,Entrepreneurship,Afternoon,Sem 4
Offline,NSS,Sustainability,Morning,Sem 5
Offline,NSS,Innovation,Morning,Sem 7
Offline,Rotaract,AI,Morning,Sem 3
Online,NSS,Cybersecurity,Afternoon,Sem 8
Offline,CSI,AI,Morning,Sem 6
Online,CSI,Sustainability,Afternoon,Sem 3
Online,IEEE,Cybersecurity,Evening,Sem 3
Offline,NSS,Cybersecurity,Afternoon,Sem 3
Online,IEEE,AI,Evening,Sem 1
Offline,Rotaract,Sustainability,Morning,Sem 1
Offline,NSS,Innovation,Evening,Sem 2
Online,IEEE,Innovation,Morning,Sem 3
Offline,NSS,Cybersecurity,Evening,Sem 3
Online,CSI,Entrepreneurship,Afternoon,Sem 5
Online,NSS,Sustainability,Afternoon,Sem 6
Online,GDSC,Cybersecurity,Morning,Sem 5
Online,GDSC,Entrepreneurship,Morning,Sem 3
Online,IEEE,Cybersecurity,Evening,Sem 7
Offline,IEEE,Entrepreneurship,Afternoon,Sem 1
Offline,CSI,AI,Morning,Sem 6
Online,GDSC,AI,Morning,Sem 2
Online,CSI,Entrepreneurship,Evening,Sem 2
Offline,Rotaract,Cybersecurity,Afternoon,Sem 2
Offline,IEEE,Sustainability,Evening,Sem 8
Online,IEEE,Entrepreneurship,Evening,Sem 2
Online,Rotaract,Entrepreneurship,Morning,Sem 1
Online,CSI,Cybersecurity,Evening,Sem 6
Offline,CSI,Sustainability,Evening,Sem 4
Offline,IEEE,Sustainability,Evening,Sem 1
Offline,Rotaract,AI,Afternoon,Sem 4
Online,GDSC,Innovation,Morning,Sem 4
Online,CSI,Sustainability,Evening,Sem 3
Offline,Rotaract,AI,Morning,Sem 8
Online,IEEE,Sustainability,Morning,Sem 4
Online,GDSC,Cybersecurity,Evening,Sem 5
Offline,NSS,Sustainability,Afternoon,Sem 4
Online,NSS,Sustainability,Afternoon,Sem 6
Online,IEEE,AI,Evening,Sem 6
Offline,CSI,Innovation,Evening,Sem 6
Online,Rotaract,Entrepreneurship,Evening,Sem 3
Offline,CSI,AI,Morning,Sem 6
Offline,IEEE,Innovation,Afternoon,Sem 1
Offline,CSI,Sustainability,Evening,Sem 1
Offline,Rotaract,AI,Evening,Sem 8
Offline,CSI,Cybersecurity,Morning,Sem 8
Online,NSS,Entrepreneurship,Morning,Sem 3
Online,IEEE,Innovation,Morning,Sem 7
Online,GDSC,Cybersecurity,Morning,Sem 3
Offline,CSI,Innovation,Morning,Sem 7
Online,Rotaract,Cybersecurity,Evening,Sem 7
Online,NSS,Sustainability,Afternoon,Sem 7
Online,NSS,Cybersecurity,Afternoon,Sem 4
Offline,GDSC,Innovation,Evening,Sem 7
Online,CSI,Sustainability,Morning,Sem 8
Offline,NSS,Cybersecurity,Afternoon,Sem 6
Online,Rotaract,Entrepreneurship,Morning,Sem 5
Online,IEEE,Entrepreneurship,Evening,Sem 6
Offline,Rotaract,Entrepreneurship,Morning,Sem 1
Offline,CSI,Cybersecurity,Morning,Sem 7
Online,NSS,Cybersecurity,Afternoon,Sem 5
Offline,GDSC,AI,Evening,Sem 4
Online,NSS,AI,Evening,Sem 5
Online,Rotaract,Cybersecurity,Evening,Sem 8
Offline,CSI,Innovation,Afternoon,Sem 4
Online,IEEE,Cybersecurity,Afternoon,Sem 3
Online,CSI,Innovation,Evening,Sem 5
Online,Rotaract,AI,Morning,Sem 7
Online,IEEE,Cybersecurity,Afternoon,Sem 7
Online,GDSC,Cybersecurity,Afternoon,Sem 2
Online,GDSC,Innovation,Afternoon,Sem 7
Online,NSS,Sustainability,Afternoon,Sem 7
Offline,CSI,AI,Afternoon,Sem 4
Online,NSS,Sustainability,Evening,Sem 4
Offline,IEEE,Innovation,Afternoon,Sem 3
Online,CSI,AI,Afternoon,Sem 2
Online,CSI,Innovation,Afternoon,Sem 4
Online,Rotaract,Entrepreneurship,Morning,Sem 4
Offline,CSI,Sustainability,Evening,Sem 7
Online,CSI,Innovation,Afternoon,Sem 3
Online,NSS,Innovation,Evening,Sem 4
Online,IEEE,Sustainability,Afternoon,Sem 3
Offline,Rotaract,Sustainability,Evening,Sem 3
Offline,NSS,Innovation,Afternoon,Sem 5
Offline,Rotaract,AI,Afternoon,Sem 7
Online,NSS,Sustainability,Afternoon,Sem 7
Online,CSI,Innovation,Morning,Sem 2
Offline,GDSC,Sustainability,Evening,Sem 8
Online,Rotaract,AI,Morning,Sem 4
Online,Rotaract,Entrepreneurship,Morning,Sem 1
Online,GDSC,Sustainability,Evening,Sem 6
