Organizing_Committee,Participated,Registration_Date,Won_Prize,Volunteer
Rotaract,Yes,03-09-2022,No,Yes
NSS,No,10-04-2025,No,No
IEEE,Yes,15-11-2023,No,No
CSI,Yes,12-10-2024,No,No
GDSC,No,30-11-2022,No,Yes
NSS,No,19-12-2023,No,Yes
NSS,Yes,28-04-2023,No,Yes
GDSC,No,09-07-2024,No,No
NSS,Yes,26-01-2024,No,No
Rotaract,No,11-04-2025,No,Yes
Rotaract,Yes,25-11-2022,Yes,No
IEEE,Yes,04-05-2023,Yes,Yes
Rotaract,Yes,02-11-2024,Yes,No
Rotaract,No,24-08-2023,No,Yes
NSS,No,31-07-2023,No,No
NSS,No,30-05-2024,No,Yes
CSI,No,30-03-2025,No,Yes
NSS,Yes,30-10-2023,Yes,No
GDSC,Yes,09-04-2023,Yes,Yes
CSI,Yes,28-04-2025,Yes,No
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
